catalog_evidence,digest,duplicate_of,error,observations,observed_at,parser,parser_version,reason,snapshot_id,source,status,target_id,timestamp,url
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,0,2019-12-12T18:26:56+00:00,wsdc_calendar.events,7,,snap_20260913T051703Z_198786c5fab5,wsdc_calendar,empty,2955cc7cb8367ca9d994ae66,20191212182656,https://www.worldsdc.com/print-event-list/
archive_query:8301f36cb8213a211f1904aca0bae0131b9301c1edab18703f024bb68f191c6e,GUYRCQ3DPHXAE2ASRUTROSQUAQSO3XUH,,,,,wsdc_calendar.events,,,,wsdc_calendar,pending,2b8b7d5b424f394e25c2b7bb,20260513162349,https://www.worldsdc.com/events/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,CAXOEVXPU7MXFKDYC5I5VW2B3R5CB2AN,,,95,2015-07-05T04:24:02+00:00,swingdancecouncil.events,2,,snap_20260913T050824Z_b47e1d7bdc49,swingdancecouncil,parsed,2cf399f9cf4a268e920bf8d5,20150705042402,http://www.swingdancecouncil.com/ActiveServerPages/UpcomingEvents.asp
archive_query:8301f36cb8213a211f1904aca0bae0131b9301c1edab18703f024bb68f191c6e,265TMSXJSZ6PRQ4NDU4AW6BRDYEWRB44,,,,,wsdc_calendar.events,,,,wsdc_calendar,pending,2dd8b6dc4d2d264495a33f0f,20260813102731,https://worldsdc.com/events/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,499,2022-03-27T07:03:20+00:00,wsdc_calendar.events,7,,snap_20260913T052533Z_4c25eb640a6a,wsdc_calendar,parsed,31073eb64db45b0b3bc14037,20220327070320,https://www.worldsdc.com/event-calendar/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,83,2022-11-26T06:04:55+00:00,wsdc_calendar.events,7,,snap_20260913T052724Z_bb46247b2fe3,wsdc_calendar,parsed,316236bcd26324a9089289ae,20221126060455,https://www.worldsdc.com/events-map/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,QFG33JA62B2OUM3QMT76HJSDO6LEUPUY,1c03c1d6698dee5f35109bb9,,,,swingdancecouncil.events,,,snap_20260913T050543Z_7c61405112ac,swingdancecouncil,duplicate,32ea67fdc68d7c6f8a157eb2,20111104170651,http://www.swingdancecouncil.com/ActiveServerPages/UpcomingEvents.asp
snap_20260913T052900Z_00e38790862b,,,,28,2026-09-13T05:34:23.950813+00:00,wsdc_newsletter.events,6,,snap_20260913T053423Z_68c1360eb9f6,wsdc_newsletter,parsed,33973c1ce87271a5a7076911,,http://www.worldsdc.com/wp-content/uploads/2023/01/WSDC-Newsleter-Vol-25-1-5-2023.pdf
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,0,2021-06-15T02:39:27+00:00,wsdc_calendar.events,7,,snap_20260913T052234Z_cfbc33018bc8,wsdc_calendar,empty,33a62626388ddd3100cce55f,20210615023927,https://www.worldsdc.com/print-event-list/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,XZM3A5NRO444ZUT3MU36C4Y3BNO6BBWZ,,,115,2013-09-21T03:27:13+00:00,swingdancecouncil.events,2,,snap_20260913T050724Z_6ddaacedd7ed,swingdancecouncil,parsed,349b28723f5b35853269daee,20130921032713,http://www.swingdancecouncil.com/ActiveServerPages/UpcomingEvents.asp
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,0,2019-09-20T15:04:10+00:00,wsdc_calendar.events,7,,snap_20260913T051503Z_2c78f82cda9b,wsdc_calendar,empty,3549a7435add18bdda592f26,20190920150410,https://www.worldsdc.com/print-event-list/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,event-list parser failed; see archived body and parse finding,,,wsdc_calendar.events,,,snap_20260913T051213Z_81a2aa57dba1,wsdc_calendar,finding,35f6bfc5b865f014caed252f,20161212121213,http://www.worldsdc.com:80/events-map/?
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,50,2022-05-16T16:19:49+00:00,wsdc_calendar.events,7,,snap_20260913T052613Z_ff9e15518853,wsdc_calendar,parsed,375aafca4859e9e2721d84a9,20220516161949,https://www.worldsdc.com/event-list/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,EZKLYD3L4AA6KU2RJZRNT4LM7FSZ3CCJ,,,73,2011-07-20T01:34:02+00:00,swingdancecouncil.events,2,,snap_20260913T050523Z_599faad414ce,swingdancecouncil,parsed,3aaf80fb11f83bfb3ec305e9,20110720013402,http://www.swingdancecouncil.com/ActiveServerPages/UpcomingEvents.asp
archive_query:b332d617f0132533a5fffcbb0cc35776bc44b20e9720f75f849e41836d750b32,KYBUFWLCYAOUFCFCOVDJZWGDTY7Z7HTX,,,,,wsdc_calendar.events,,,,wsdc_calendar,pending,3c5a6116618208e4556dd9e7,20251006110156,https://www.worldsdc.com/events/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,50,2022-12-03T16:55:14+00:00,wsdc_calendar.events,7,,snap_20260913T052753Z_9fefc779c3b2,wsdc_calendar,parsed,3cb68dbb6e96d5d36e727791,20221203165514,https://www.worldsdc.com/event-list/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,QFG33JA62B2OUM3QMT76HJSDO6LEUPUY,1c03c1d6698dee5f35109bb9,,,,swingdancecouncil.events,,,snap_20260913T050543Z_7c61405112ac,swingdancecouncil,duplicate,3ce3124f17efd2a58f125ae1,20111105054636,http://www.swingdancecouncil.com:80/ActiveServerPages/UpcomingEvents.asp
