evidence_json,kind,owner_id,owner_kind,snapshot_id,subject_id,subject_kind,suggested_override,summary
"{""candidates"":[],""printed_name"":""U.K. & European WCS Championships (Cancelled due to Coronavirus)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T052610Z_9b5425eda664,2019-04:u-k-european-wcs-championships-cancelled-due-to-coronavirus,history_listing,"U.K. & European WCS Championships (Cancelled due to Coronavirus),listed-u-k-european-wcs-championships-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""West Swing Fest"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053253Z_e19d60bb1ba4,2019-04:west-swing-fest,history_listing,"West Swing Fest,listed-west-swing-fest,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Zouk 1st German Open Championship 2019"",""year"":2019}",series_alias,2019,history_year,snap_20260910T054026Z_da863051bc1e,2019-04:zouk-german-open-championship,history_listing,"Zouk 1st German Open Championship 2019,listed-zouk-german-open-championship,scoringdance,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""3.TAF Schleswig Cup West Coast Swing 2019"",""year"":2019}",series_alias,2019,history_year,snap_20260910T032911Z_34e948f7fea1,2019-05:3-taf-schleswig-cup-west-coast-swing,history_listing,"3.TAF Schleswig Cup West Coast Swing 2019,listed-3-taf-schleswig-cup-west-coast-swing,scoringdance,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""KIWIfest"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-05:kiwifest,history_listing,"KIWIfest,listed-kiwifest,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""MAD MAD WEST"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-05:mad-mad-west,history_listing,"MAD MAD WEST,listed-mad-mad-west,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""SCOTTISH SWING CLASSIC"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-05:scottish-swing-classic,history_listing,"SCOTTISH SWING CLASSIC,listed-scottish-swing-classic,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""SOSWING CONVENTION"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-05:soswing-convention,history_listing,"SOSWING CONVENTION,listed-soswing-convention,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""SWINGDIEGO (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-05:swingdiego-nasde,history_listing,"SWINGDIEGO (NASDE),listed-swingdiego-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""TAF German Masters West 2019"",""year"":2019}",series_alias,2019,history_year,snap_20260910T060132Z_dbf18a1fc59b,2019-05:taf-german-masters-west,history_listing,"TAF German Masters West 2019,listed-taf-german-masters-west,scoringdance,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""USA GRAND NATIONAL DANCE CHAMPIONSHIP (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-05:usa-grand-national-dance-championship-nasde,history_listing,"USA GRAND NATIONAL DANCE CHAMPIONSHIP (NASDE),listed-usa-grand-national-dance-championship-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""LIBERTY SWING DANCE CHAMPIONSHIPS (NASDE) WSDC MEMBERSHIP MEETING"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-06:liberty-swing-dance-championships-nasde-wsdc-membership-meeting,history_listing,"LIBERTY SWING DANCE CHAMPIONSHIPS (NASDE) WSDC MEMBERSHIP MEETING,listed-liberty-swing-dance-championships-nasde-wsdc-membership-meeting,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""NSW WCS DANCE CHAMPIONSHIPS"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-06:nsw-wcs-dance-championships,history_listing,"NSW WCS DANCE CHAMPIONSHIPS,listed-nsw-wcs-dance-championships,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[""wsdc-321"",""wsdc-331""],""printed_name"":""SWING FICTION"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-06:swing-fiction,history_listing,"SWING FICTION,listed-swing-fiction,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""BARCELONA WESTIE SUMMER"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053153Z_b3d4d7e4936b,2019-07:barcelona-westie-summer,history_listing,"BARCELONA WESTIE SUMMER,listed-barcelona-westie-summer,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Barcelona Westie Summer (Trial)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T051353Z_65d61746a3d0,2019-07:barcelona-westie-summer-trial,history_listing,"Barcelona Westie Summer (Trial),listed-barcelona-westie-summer-trial,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""BIG APPLE COUNTRY DANCE CHAMPIONSHIPS"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053153Z_b3d4d7e4936b,2019-07:big-apple-country-dance-championships,history_listing,"BIG APPLE COUNTRY DANCE CHAMPIONSHIPS,listed-big-apple-country-dance-championships,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""FORIDA DANCE MAGIC"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053153Z_b3d4d7e4936b,2019-07:forida-dance-magic,history_listing,"FORIDA DANCE MAGIC,listed-forida-dance-magic,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""GPSDC ANNUAL JULY 4TH CONVENTION"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053153Z_b3d4d7e4936b,2019-07:gpsdc-annual-july-convention,history_listing,"GPSDC ANNUAL JULY 4TH CONVENTION,listed-gpsdc-annual-july-convention,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""WESTCÂMBIO BRAZIL"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053153Z_b3d4d7e4936b,2019-07:westcambio-brazil,history_listing,"WESTCÂMBIO BRAZIL,listed-westcambio-brazil,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[""wsdc-279"",""wsdc-283""],""printed_name"":""KAZAN EL FEST"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053153Z_b3d4d7e4936b,2019-08:kazan-el-fest,history_listing,"KAZAN EL FEST,listed-kazan-el-fest,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""SUMMER HUMMER (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053153Z_b3d4d7e4936b,2019-08:summer-hummer-nasde,history_listing,"SUMMER HUMMER (NASDE),listed-summer-hummer-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
