denominator_valid,detail_rows,detail_to_entry_ratio,entry_count,judge_count,mark_matrix_coverage,mark_matrix_denominator,marks,round_id,round_type,source
True,10,0.5,20,6,0.833333,60,50,2024-09-midland-swing-open/newcomer-jj/final,final,scoringdance
True,60,0.9375,64,7,0.457143,420,192,2024-09-midland-swing-open/newcomer-jj/prelim,prelim,scoringdance
True,16,0.5,32,6,0.833333,96,80,2024-09-midland-swing-open/novice-jj/final,final,scoringdance
True,151,0.967949,156,12,0.430464,1812,780,2024-09-midland-swing-open/novice-jj/prelim,prelim,scoringdance
True,74,0.973684,76,11,0.46683,814,380,2024-09-midland-swing-open/novice-jj/semifinal,semifinal,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-midland-swing-open/novice-strictly/final,final,scoringdance
True,29,1.0,29,6,0.833333,174,145,2024-09-midland-swing-open/novice-strictly/prelim,prelim,scoringdance
True,8,0.5,16,6,0.833333,48,40,2024-09-midland-swing-open/open-strictly/final,final,scoringdance
True,20,1.0,20,6,0.833333,120,100,2024-09-midland-swing-open/open-strictly/prelim,prelim,scoringdance
True,4,0.5,8,6,0.833333,24,20,2024-09-midland-swing-open/rising-star/final,final,scoringdance
True,16,0.5,32,6,0.833333,96,80,2024-09-midland-swing-open/sophisticated-jj/final,final,scoringdance
True,79,1.0,79,7,0.428571,553,237,2024-09-midland-swing-open/sophisticated-jj/prelim,prelim,scoringdance
True,50,0.925926,54,7,0.462857,350,162,2024-09-midland-swing-open/sophisticated-jj/semifinal,semifinal,scoringdance
True,5,0.555556,9,6,0.833333,30,25,2024-09-mooseland-swing/advanced-jj/final,final,scoringdance
True,5,0.5,10,6,0.833333,30,25,2024-09-mooseland-swing/intermediate-jj/final,final,scoringdance
True,16,1.0,16,9,0.444444,144,64,2024-09-mooseland-swing/intermediate-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-mooseland-swing/jj-charity-fun/final,final,scoringdance
True,65,1.0,65,7,0.428571,455,195,2024-09-mooseland-swing/jj-charity-fun/prelim,prelim,scoringdance
True,10,0.5,20,8,0.875,80,70,2024-09-mooseland-swing/newcomer-jj/final,final,scoringdance
True,34,0.894737,38,7,0.478992,238,114,2024-09-mooseland-swing/newcomer-jj/prelim,prelim,scoringdance
True,10,0.5,20,8,0.875,80,70,2024-09-mooseland-swing/novice-jj/final,final,scoringdance
True,53,0.913793,58,9,0.486373,477,232,2024-09-mooseland-swing/novice-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-retaliation-swing/advanced-jj/final,final,scoringdance
True,34,1.0,34,7,0.428571,238,102,2024-09-retaliation-swing/advanced-jj/prelim,prelim,scoringdance
True,11,0.55,20,6,0.833333,66,55,2024-09-retaliation-swing/allstar-jj/final,final,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-retaliation-swing/intermediate-jj/final,final,scoringdance
True,34,0.971429,35,8,0.386029,272,105,2024-09-retaliation-swing/intermediate-jj/prelim,prelim,scoringdance
True,5,0.5,10,6,0.833333,30,25,2024-09-retaliation-swing/masters-jj/final,final,scoringdance
True,18,1.0,18,7,0.428571,126,54,2024-09-retaliation-swing/masters-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-retaliation-swing/newcomer-jj/final,final,scoringdance
True,30,1.0,30,7,0.428571,210,90,2024-09-retaliation-swing/newcomer-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-retaliation-swing/novice-jj/final,final,scoringdance
