watch_id,source_ref,url,notes,last_checked_at,next_check_at
159f6fc3ac1b8c35,wsdc:26866,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:08:38.438274+00:00,2026-09-10T14:53:17.738805+00:00
5f3cc12b9e240adb,wsdc:27087,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:11:53.710944+00:00,2026-09-11T04:20:01.817709+00:00
704a6a135a5e8d24,wsdc:27249,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:12:43.904474+00:00,2026-09-10T14:53:17.738805+00:00
3a484cc60fe0f3e9,wsdc:27376,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:10:03.858288+00:00,2026-09-10T14:53:17.738805+00:00
e0e6576af1ba853e,wsdc:2761,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T14:01:08.245795+00:00,2026-09-10T14:53:17.738805+00:00
c4c4dbc35deee1e3,wsdc:27872,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:05:43.225590+00:00,2026-09-11T04:19:58.467025+00:00
cfea31b3cad6c956,wsdc:27876,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:06:28.270187+00:00,2026-09-11T04:19:58.467025+00:00
eeda4ca24048da6b,wsdc:2832,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-summer-hummer,2026-09-10T14:09:01.840625+00:00,2026-09-11T04:20:04.279933+00:00
b2eb4c8b70fbbf98,wsdc:28923,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:04:58.119557+00:00,2026-09-11T04:19:58.467025+00:00
0da13897a295ffae,wsdc:2894,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T14:01:09.883517+00:00,2026-09-10T14:53:17.738805+00:00
688b55eb322f6569,wsdc:29029,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:02.463727+00:00,2026-09-12T16:32:07.271241+00:00
7abdcb5cf347d54b,wsdc:29030,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:04.378406+00:00,2026-09-12T16:32:07.271241+00:00
4a5b11602b135334,wsdc:29031,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:06.354325+00:00,2026-09-12T16:32:07.271241+00:00
9bbb4fb27214c6f4,wsdc:29032,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:08.375818+00:00,2026-09-12T16:32:07.271241+00:00
55f6f444d539dfb7,wsdc:29033,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:10.331774+00:00,2026-09-12T16:32:07.271241+00:00
ae91fef1695e22f8,wsdc:29034,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:12.404376+00:00,2026-09-12T16:32:07.271241+00:00
508a16c3619c8261,wsdc:29035,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:14.916644+00:00,2026-09-12T16:32:07.271241+00:00
0589dc712cf7fec7,wsdc:29036,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:16.619097+00:00,2026-09-12T16:32:07.271241+00:00
d79c5fde563a113b,wsdc:29037,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:18.622495+00:00,2026-09-12T16:32:07.271241+00:00
d6734aaa1b390111,wsdc:29038,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:20.630748+00:00,2026-09-12T16:32:07.271241+00:00
5c06b7aececa9fb9,wsdc:29039,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:22.698904+00:00,2026-09-12T16:32:07.271241+00:00
7b22088fcfc88651,wsdc:29040,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:24.706495+00:00,2026-09-12T16:32:07.271241+00:00
a780b54f5e650812,wsdc:29041,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:26.725892+00:00,2026-09-12T16:32:07.271241+00:00
81078654e89d0725,wsdc:29042,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:28.660524+00:00,2026-09-12T16:32:07.271241+00:00
4592e77122b56b7e,wsdc:29043,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:30.677739+00:00,2026-09-12T16:32:07.271241+00:00
a4eb3c09ed404043,wsdc:29044,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:32.706938+00:00,2026-09-12T16:32:07.271241+00:00
d68332e4cdfc6e2c,wsdc:29045,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:34.684987+00:00,2026-09-12T16:32:07.271241+00:00
4151b71711524e38,wsdc:29046,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:36.706471+00:00,2026-09-12T16:32:07.271241+00:00
6b878a0d37035f96,wsdc:29047,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:38.870991+00:00,2026-09-12T16:32:07.271241+00:00
d03a4562776041e1,wsdc:29048,https://points.worldsdc.com/lookup2020/find,probe,2026-09-12T13:09:40.726999+00:00,2026-09-12T16:32:07.271241+00:00
fc06144e22dfe3b5,wsdc:311,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:07:08.381580+00:00,2026-09-11T04:20:01.817709+00:00
654f446efcc346a1,wsdc:3125,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T14:32:14.360970+00:00,2026-09-11T14:32:14.360970+00:00
f09657e8a93a2abe,wsdc:3138,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T14:38:38.235330+00:00,2026-09-11T04:20:01.817709+00:00
d9d48bebe63c5d84,wsdc:3150,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T14:39:02.286081+00:00,2026-09-11T04:20:01.817709+00:00
157f5daad88311d0,wsdc:5005,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:08:33.426724+00:00,2026-09-10T14:53:17.738805+00:00
52eb7be3ce4873d3,wsdc:5066,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:11:28.724859+00:00,2026-09-10T14:53:17.738805+00:00
97fc8b370c394f0c,wsdc:5103,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-11T05:37:43.784683+00:00,2026-09-12T05:37:43.784683+00:00
