candidate_series,printed_name,snapshot_ids,suggested_override,years
[],Berlin Swing Revolution (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Berlin Swing Revolution (Cancelled due to Covid-19),listed-berlin-swing-revolution-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Berlin Swing Revolution (Unconfirmed),"[""snap_20260913T052844Z_b95ece79a3ac""]","Berlin Swing Revolution (Unconfirmed),listed-berlin-swing-revolution-unconfirmed,wsdc_calendar,review series identity",[2023]
[],Best of the Best (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Best of the Best (Cancelled due to Covid-19),listed-best-of-the-best-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Best of the Best (Cancelleld due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Best of the Best (Cancelleld due to Covid-19),listed-best-of-the-best-cancelleld-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Best of the Best (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","Best of the Best (Unconfirmed),listed-best-of-the-best-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Big 3 Festival Hamburg 2026 (Bachata Jack & Jill),"[""snap_20260910T060830Z_35a5572a75b9""]","Big 3 Festival Hamburg 2026 (Bachata Jack & Jill),listed-big-3-festival-hamburg-bachata-jack-jill,scoringdance,review series identity",[2026]
[],Big 3 Festival Hamburg 2026 (Salsa Jack & Jill),"[""snap_20260910T063142Z_598e949bb012""]","Big 3 Festival Hamburg 2026 (Salsa Jack & Jill),listed-big-3-festival-hamburg-salsa-jack-jill,scoringdance,review series identity",[2026]
[],Big Apple CDF,"[""snap_20260909T150512Z_694f97493af0""]","Big Apple CDF,listed-big-apple-cdf,eepro,review series identity",[2025]
[],Big Apple Country Dance,"[""snap_20260913T050503Z_1dc9d7a88150"", ""snap_20260913T050713Z_532a13011352""]","Big Apple Country Dance,listed-big-apple-country-dance,swingdancecouncil,review series identity","[2010, 2013]"
[],Big Apple Country Dance & NY Swing Congress,"[""snap_20260913T050824Z_b47e1d7bdc49"", ""snap_20260913T051244Z_a3c08b0b73ee""]","Big Apple Country Dance & NY Swing Congress,listed-big-apple-country-dance-ny-swing-congress,swingdancecouncil,review series identity","[2015, 2016, 2017]"
[],Big Apple Country Dance Championships,"[""snap_20260913T053404Z_622d98a01fec""]","Big Apple Country Dance Championships,listed-big-apple-country-dance-championships,wsdc_newsletter,review series identity",[2022]
[],Big Bang Swing Classic,"[""snap_20260913T050803Z_89757c41ead1""]","Big Bang Swing Classic,listed-big-bang-swing-classic,swingdancecouncil,review series identity",[2016]
[],Boogie By The Bay    (NASDE),"[""snap_20260913T051244Z_a3c08b0b73ee""]","Boogie By The Bay    (NASDE),listed-boogie-by-the-bay-nasde,wsdc_calendar,review series identity",[2016]
[],Boogie By The Bay (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Boogie By The Bay (Cancelled due to Covid-19),listed-boogie-by-the-bay-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Boogie By the Bay (NASDE),"[""snap_20260913T053414Z_e2920d5d80be""]","Boogie By the Bay (NASDE),listed-boogie-by-the-bay-nasde,wsdc_newsletter,review series identity",[2022]
[],Boogie by the Bay (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Boogie by the Bay (Cancelled due to Covid-19),listed-boogie-by-the-bay-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Boston Tea Party (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Boston Tea Party (Cancelled due to Coronavirus),listed-boston-tea-party-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Boston Tea Party (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4"", ""snap_20260913T052824Z_0ea63567e442""]","Boston Tea Party (Cancelled due to Covid-19),listed-boston-tea-party-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2021, 2023]"
[],Bridge Town Swing,"[""snap_20260913T052314Z_cd0f43b0da24""]","Bridge Town Swing,listed-bridge-town-swing,wsdc_calendar,review series identity",[2021]
[],BridgeTown Swing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","BridgeTown Swing (Cancelled due to Covid-19),listed-bridgetown-swing-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021]"
[],BridgeTown Swing (Unconfirmed),"[""snap_20260913T055241Z_d374c58b5248""]","BridgeTown Swing (Unconfirmed),listed-bridgetown-swing-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Budafest 2020,"[""snap_20260910T053516Z_7e10395e88b5""]","Budafest 2020,listed-budafest,scoringdance,review series identity",[2020]
[],Budafest 2022,"[""snap_20260910T053409Z_523d0ad03994""]","Budafest 2022,listed-budafest,scoringdance,review series identity",[2022]
[],Budafest 2023,"[""snap_20260910T060428Z_adf6f0c9888a""]","Budafest 2023,listed-budafest,scoringdance,review series identity",[2023]
[],Budafest 2024,"[""snap_20260910T044304Z_cdfe8460c06d""]","Budafest 2024,listed-budafest,scoringdance,review series identity",[2024]
[],Budafest 2025,"[""snap_20260910T061303Z_4ad7eb457c1f""]","Budafest 2025,listed-budafest,scoringdance,review series identity",[2025]
[],Budafest 2026,"[""snap_20260910T053940Z_628e8e59842a""]","Budafest 2026,listed-budafest,scoringdance,review series identity",[2026]
[],By-town Ontario Open (BTO),"[""snap_20260913T053435Z_ed5072b4dea1""]","By-town Ontario Open (BTO),listed-by-town-ontario-open-bto,wsdc_newsletter,review series identity",[2024]
[],By-town Ontario Open (BTO) (Trial),"[""snap_20260913T051713Z_ef94353a0af6""]","By-town Ontario Open (BTO) (Trial),listed-by-town-ontario-open-bto-trial,wsdc_calendar,review series identity",[2020]
[],C.A.S.H. Bash (Cancelled due to Covid-10),"[""snap_20260913T052353Z_ca327a4a9b2a"", ""snap_20260913T052403Z_9f16e086052c""]","C.A.S.H. Bash (Cancelled due to Covid-10),listed-c-a-s-h-bash-cancelled-due-to-covid-10,wsdc_calendar,review series identity","[2020, 2021]"
[],C.A.S.H. Bash (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","C.A.S.H. Bash (Cancelled due to Covid-19),listed-c-a-s-h-bash-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021]"
[],C.A.S.H. Bash (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","C.A.S.H. Bash (Unconfirmed),listed-c-a-s-h-bash-unconfirmed,wsdc_calendar,review series identity",[2024]
[],CANADIAN SWING CHAM- PIONSHIPS (CSC),"[""snap_20260913T052940Z_0177184cf9eb""]","CANADIAN SWING CHAM- PIONSHIPS (CSC),listed-canadian-swing-cham-pionships-csc,wsdc_newsletter,review series identity",[2017]
[],CAPITAL S.D. PRESI- DENTS DAY (NASDE),"[""snap_20260913T052910Z_44c788523cf4""]","CAPITAL S.D. PRESI- DENTS DAY (NASDE),listed-capital-s-d-presi-dents-day-nasde,wsdc_newsletter,review series identity",[2017]
[],CAPITAL SWING DANCE CONVENTION (NASDE),"[""snap_20260913T053010Z_478d7ddb5edd"", ""snap_20260913T053303Z_220a0f22f0f6""]","CAPITAL SWING DANCE CONVENTION (NASDE),listed-capital-swing-dance-convention-nasde,wsdc_newsletter,review series identity","[2019, 2020]"
[],CAPITAL SWING DANCE PRESIDENT’S DAY (NASDE),"[""snap_20260913T052930Z_9938b86a7094""]","CAPITAL SWING DANCE PRESIDENT’S DAY (NASDE),listed-capital-swing-dance-president-s-day-nasde,wsdc_newsletter,review series identity",[2018]
[],CHICAGO CLASSIC (NASDE),"[""snap_20260913T052910Z_44c788523cf4"", ""snap_20260913T052930Z_9938b86a7094"", ""snap_20260913T053010Z_478d7ddb5edd"", ""snap_20260913T053303Z_220a0f22f0f6""]","CHICAGO CLASSIC (NASDE),listed-chicago-classic-nasde,wsdc_newsletter,review series identity","[2017, 2018, 2019, 2020]"
[],CITY OF ANGELS SWING,"[""snap_20260913T035045Z_008aaf4c6933"", ""snap_20260913T053000Z_11d8e6dbdaab""]","CITY OF ANGELS SWING,listed-city-of-angels-swing,wsdc_newsletter,review series identity","[2018, 2019]"
[],CMJ NSW West Coast Swing Dance Championships,"[""snap_20260913T051244Z_a3c08b0b73ee""]","CMJ NSW West Coast Swing Dance Championships,listed-cmj-nsw-west-coast-swing-dance-championships,wsdc_calendar,review series identity","[2016, 2017]"
[],Calgary Dance Stampede (Canceled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Calgary Dance Stampede (Canceled due to Covid-19),listed-calgary-dance-stampede-canceled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Calgary Dance Stampede (Canceled due to Covid-19) (Trial),"[""snap_20260913T052154Z_1104e248a2f1""]","Calgary Dance Stampede (Canceled due to Covid-19) (Trial),listed-calgary-dance-stampede-canceled-due-to-covid-19-trial,wsdc_calendar,review series identity",[2021]
[],Calgary Dance Stampede (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Calgary Dance Stampede (Cancelled due to Coronavirus),listed-calgary-dance-stampede-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Calgary Dance Stampede (Trial),"[""snap_20260913T052023Z_35ecb3c663ec"", ""snap_20260913T052554Z_9d33672cd3e2""]","Calgary Dance Stampede (Trial),listed-calgary-dance-stampede-trial,wsdc_calendar,review series identity","[2021, 2022]"
[],Calgary Town Open,"[""de51b1e142624d9a854864ae05264d1b""]","Calgary Town Open,listed-calgary-town-open,wsdc_calendar,review series identity",[2026]
[],Canadian Swing Championships (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Canadian Swing Championships (Cancelled due to Coronavirus),listed-canadian-swing-championships-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Capital S.D.President,"[""snap_20260913T051133Z_f78d9dfcc6e7""]","Capital S.D.President,listed-capital-s-d-president,wsdc_calendar,review series identity",[2017]
[],Capital S.D.President (NASDE),"[""snap_20260913T051203Z_a0219560bfe8""]","Capital S.D.President (NASDE),listed-capital-s-d-president-nasde,wsdc_calendar,review series identity",[2017]
[],Capital S.D.President's Day Weekend Convention,"[""snap_20260913T050433Z_b749ee48056f"", ""snap_20260913T050613Z_a7106c385749"", ""snap_20260913T050713Z_532a13011352"", ""snap_20260913T050743Z_aa7582b60497"", ""snap_20260913T051023Z_de41000bfa60""]","Capital S.D.President's Day Weekend Convention,listed-capital-s-d-president-s-day-weekend-convention,swingdancecouncil,review series identity","[2010, 2012, 2013, 2015, 2016]"
[],Capital Swing,"[""snap_20260909T150512Z_694f97493af0""]","Capital Swing,listed-capital-swing,eepro,review series identity","[2025, 2026]"
[],Capital Swing Cup,"[""snap_20260913T050443Z_6a757e752fa4""]","Capital Swing Cup,listed-capital-swing-cup,swingdancecouncil,review series identity",[2010]
[],Capital Swing Dance Convention (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Capital Swing Dance Convention (Cancelled due to Covid-19),listed-capital-swing-dance-convention-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2021, 2022]"
[],Capital Swing Dance Convention (NASDE),"[""snap_20260913T053435Z_ed5072b4dea1""]","Capital Swing Dance Convention (NASDE),listed-capital-swing-dance-convention-nasde,wsdc_newsletter,review series identity",[2024]
[],Capital Swing Dance Presidents Day (NASDE),"[""snap_20260913T051244Z_a3c08b0b73ee""]","Capital Swing Dance Presidents Day (NASDE),listed-capital-swing-dance-presidents-day-nasde,wsdc_calendar,review series identity",[2017]
[],Capital Swing Presidents' Day Convention (Cancelled due to Covid-19),"[""snap_20260913T052610Z_9b5425eda664""]","Capital Swing Presidents' Day Convention (Cancelled due to Covid-19),listed-capital-swing-presidents-day-convention-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Carnival Swing 2018,"[""snap_20260910T032911Z_34e948f7fea1""]","Carnival Swing 2018,listed-carnival-swing,scoringdance,review series identity",[2018]
[],Carnival Swing Cologne 2019,"[""snap_20260910T053721Z_be05513ccc06""]","Carnival Swing Cologne 2019,listed-carnival-swing-cologne,scoringdance,review series identity",[2019]
[],Carnival Swing Cologne 2020,"[""snap_20260910T053449Z_31593ec0a25c""]","Carnival Swing Cologne 2020,listed-carnival-swing-cologne,scoringdance,review series identity",[2020]
