event_id	name	start_m/d/yy	end_m/d/yy	location	results_published	affiliations	event_page
300873831	WeAsOne Indonesia	11/7/25	11/9/25	Jakarta, Indonesia	False		https://danceconvention.net/eventdirector/en/eventpage/300873831-weasone-indonesia
300821000	The After Party - A West Coast Swing Experience 2025	12/4/25	12/7/25	Irvine, CA	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300821000-the-after-party---a-west-coast-swing-experience-2025
300926550	Shooba Dooba Swing	12/5/25	12/8/25	Moscow, Russia	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300926550-shooba-dooba-swing
301108260	Elements Zouk Fest 2026	2/13/26	2/15/26	Yekaterinburg, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/301108260-elements-zouk-fest-2026
300439991	Arousa Westie Fest 2025	2/20/25	2/23/25	Sanxenxo, Galicia	False	WSDC	https://danceconvention.net/eventdirector/en/eventpage/300439991-arousa-westie-fest-2025
301108261	Cash&Swing 2026	2/20/26	2/23/26	Samara / Russia	False		https://danceconvention.net/eventdirector/en/eventpage/301108261-cashswing-2026
300240590	Cash&Swing 2025	2/21/25	2/23/25	Samara	True		https://danceconvention.net/eventdirector/en/eventpage/300240590-cashswing-2025
300766630	Southern Lights Swing	2/26/26	3/2/26	Hobart, Australia	True		https://danceconvention.net/eventdirector/en/eventpage/300766630-southern-lights-swing
300804490	Swing & Snow 2026	2/5/26	2/8/26	St.Petersburg, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/300804490-swing-snow-2026
301201931	BRAZUKA WINTER CUP 2026	2/6/26	2/8/26	Moscow, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/301201931-brazuka-winter-cup-2026
8637240	WesterOz Swing	2/7/25	2/9/25	Perth, Australia	True	WSDC	https://danceconvention.net/eventdirector/en/eventpage/8637240-westeroz-swing
301189301	Remix with Ariel & Jesse	2/7/26	2/8/26	Dallas, Texas	False		https://danceconvention.net/eventdirector/en/eventpage/301189301-remix-with-ariel-jesse
300353221	BRAZUKA WINTER CUP 2025	2/8/25	2/8/25	Moscow, Russia	True	BZDC,WZR	https://danceconvention.net/eventdirector/en/eventpage/300353221-brazuka-winter-cup-2025
301115640	Spicy Spring Swing	3/20/26	3/22/26	Saint-Petersburg, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/301115640-spicy-spring-swing
300240591	Spicy Spring Swing	3/21/25	3/23/25	Saint-Petersburg, Russia	True		https://danceconvention.net/eventdirector/en/eventpage/300240591-spicy-spring-swing
