event_id	title	dates_mm_dd_yyyy
179	Hippmann Fun-Competition 2024	10/25 - 10/27/2024
175	Halloween SwingThing 2024	10/25 - 10/28/2024
165	Swingside Invitational 2024	10/25 - 10/27/2024
177	Warsaw Halloween Swing 2024	10/24 - 10/28/2024
132	Bachata Explosion 2024	10/18 - 10/20/2024
172	Milan Modern Swing 2024	10/17 - 10/20/2024
163	Augsburg Westie Station 2024	10/17 - 10/20/2024
160	WCS Festival Düsseldorf 2024	10/10 - 10/14/2024
156	Boogie by the Bay 2024	10/10 - 10/14/2024
118	German Open Championship 2024	10/03 - 10/06/2024
152	Mooseland Swing 2024	09/27 - 09/30/2024
150	Midland Swing Open 2024	09/26 - 09/30/2024
151	WCSParty 2024	09/26 - 09/30/2024
155	Aloha Open 2024	09/25 - 09/29/2024
159	Finnfest 2024	09/19 - 09/22/2024
154	Retaliation Swing 2024	09/19 - 09/23/2024
149	Bavarian Open 2024	09/12 - 09/15/2024
143	BINDAAS Bachata Festival 2024	09/06 - 09/08/2024
146	Rolling Swing 2024	08/29 - 09/03/2024
148	WCS Magyar Kupa	08/24 - 08/25/2024
141	SwingTime Denver 2024	08/15 - 08/19/2024
140	UpTown Swing 2024	08/09 - 08/13/2024
147	Bristol Swing Fiesta	08/09 - 08/11/2024
139	German Open 2024	08/01 - 08/04/2024
144	Sea Sun & Swing Camp 2024	07/27 - 08/03/2024
145	Bend Connection 2024	07/25 - 07/28/2024
138	Rock The Barn 2024	07/18 - 07/21/2024
137	SaunaSwing 2024	07/12 - 07/14/2024
136	NeverlandSwing 2024	06/27 - 07/01/2024
117	Bachata Sensual Congress Germany 2024	06/21 - 06/24/2024
135	D-Town Swing 2024	06/13 - 06/17/2024
142	Dance N Play 2024	06/13 - 06/16/2024
134	Baltic Swing 2024	06/06 - 06/10/2024
133	Hungarian Open 2024	05/31 - 06/02/2024
130	SOswing Convention 2024	05/16 - 05/19/2024
121	French Open 2024	05/08 - 05/12/2024
127	Spring Time Swing 2024	05/02 - 05/06/2024
128	SOM - Swing Of Music 2024	04/26 - 04/28/2024
131	Nordic WCS Championships 2024	04/25 - 04/29/2024
125	Slovenian Open 2024	04/19 - 04/21/2024
129	Detonation Dance 2024	04/18 - 04/22/2024
120	Westy Nantes 2024	04/12 - 04/15/2024
126	City of Angels Swing 2024	04/11 - 04/14/2024
124	SwingIn - Festival 2024	04/05 - 04/07/2024
119	Dutch Open 2024	04/04 - 04/07/2024
122	5280 Westival 2024	03/21 - 03/25/2024
115	Westie Spring Thing 2024	03/14 - 03/18/2024
123	All-Star Swing Jam 2024	03/14 - 03/17/2024
116	West in Lyon 2024	03/07 - 03/10/2024
114	Valentine Swing 2024	02/15 - 02/18/2024
104	Euro Dance Festival 2024	02/13 - 02/18/2024
113	Paris Swing Classic 2024	02/01 - 02/04/2024
112	Swing Resolution 2024	01/26 - 01/28/2024
111	Monterey Swing Fest 2024	01/10 - 01/14/2024
108	Budafest 2024	01/03 - 01/07/2024
106	SwingCouver 2023/24	12/28/2023-01/01/2024
110	Westie Gala 2023/2024	12/28/2023-01/02/2024
109	SwingVester 2023/24	12/28/2023-01/01/2024
100	Global Grand Prix Swing Dance Championships 2023	12/14 - 12/17/2023
107	Munich Bachata Fest 2023	12/08 - 12/10/2023
98	Berlin Swing Revolution 2023	12/07 - 12/10/2023
105	Winter White 2023	11/30 - 12/03/2023
103	Scandinavian Open WCS 2023 [SNOW 2023]	11/02 - 11/06/2023
96	Warsaw Halloween Swing 2023	10/26 - 10/30/2023
95	Milan Modern Swing 2023	10/20 - 10/22/2023
101	Augsburg Westie Station 2023	10/20 - 10/22/2023
94	WCS Festival Düsseldorf 2023	10/12 - 10/15/2023
102	German Open Bachata Championship 2023	09/29 - 10/02/2023
97	Cologne Swing Weekend 2023	09/22 - 09/24/2023
93	Finnfest 2023	09/22 - 09/25/2023
92	Midland Swing Open 2023	09/21 - 09/24/2023
91	Bavarian Open 2023	08/31 - 09/04/2023
90	UpTown Swing 2023	08/11 - 08/15/2023
88	German Open 2023	08/03 - 08/06/2023
89	Rock The Barn 2023	07/21 - 07/23/2023
85	NeverlandSwing 2023	06/29 - 07/04/2023
84	D-Town Swing 2023	06/22 - 06/25/2023
83	Baltic Swing 2023	06/15 - 06/19/2023
87	Jack&Jill O'Rama	06/08/2023
86	Hungarian Open 2023	06/02 - 06/04/2023
82	TLV Swingfest 2023	05/12 - 05/14/2023
80	Nordic WCS Championships 2023	04/28 - 05/01/2023
81	SwingIn - Festival 2023	04/21 - 04/23/2023
79	Detonation Dance 2023	04/20 - 04/24/2023
78	Dutch Open 2023	03/23 - 03/26/2023
74	5280 Westival 2023	03/23 - 03/27/2023
76	Westie Spring Thing 2023	03/09 - 03/12/2023
