contest_type,count,division,eligible,follower_points_missing,has_registry_F_evidence,has_registry_numeric_evidence,leader_points_missing,points_matches_expected,reference_shape,registry_confirmed,source
strictly,5,champion,False,True,False,True,True,,leader+follower,False,scoringdance
strictly,1,intermediate,False,True,False,False,True,,leader,False,scoringdance
strictly,109,intermediate,False,True,False,False,True,,leader+follower,False,scoringdance
strictly,23,intermediate,False,True,False,True,True,,leader+follower,False,scoringdance
strictly,27,intermediate,False,True,True,False,True,,leader+follower,False,scoringdance
strictly,3,intermediate,False,True,True,True,True,,leader+follower,False,scoringdance
strictly,43,newcomer,False,True,False,False,True,,leader+follower,False,scoringdance
strictly,264,none,False,True,False,False,True,,leader+follower,False,scoringdance
strictly,188,novice,False,True,False,False,True,,leader+follower,False,scoringdance
strictly,17,novice,False,True,False,True,True,,leader+follower,False,scoringdance
strictly,24,novice,False,True,True,False,True,,leader+follower,False,scoringdance
strictly,7,novice,False,True,True,True,True,,leader+follower,False,scoringdance
strictly,146,open,False,True,False,False,True,,leader+follower,False,scoringdance
classic,5,none,False,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,11,advanced,False,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,56,advanced,True,False,False,True,False,True,leader+follower,True,wdr
jack_and_jill,5,advanced,True,True,False,True,False,True,leader+follower,False,wdr
jack_and_jill,2,advanced,True,False,False,True,True,True,leader+follower,False,wdr
jack_and_jill,13,advanced,True,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,43,advanced,True,True,True,False,True,,leader+follower,False,wdr
jack_and_jill,12,allstar,True,False,False,True,False,,leader+follower,True,wdr
jack_and_jill,31,allstar,True,False,False,True,False,True,leader+follower,True,wdr
jack_and_jill,6,allstar,True,True,False,True,False,True,leader+follower,False,wdr
jack_and_jill,1,allstar,True,False,False,True,True,True,leader+follower,False,wdr
jack_and_jill,29,allstar,True,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,1,allstar,True,True,False,True,True,,leader+follower,False,wdr
jack_and_jill,17,allstar,True,True,True,False,True,,leader+follower,False,wdr
jack_and_jill,4,champion,True,False,False,True,False,,leader+follower,True,wdr
jack_and_jill,5,champion,True,False,False,True,False,True,leader+follower,True,wdr
jack_and_jill,2,champion,True,True,False,True,False,True,leader+follower,False,wdr
jack_and_jill,1,champion,True,False,False,True,True,,leader+follower,False,wdr
jack_and_jill,1,champion,True,False,False,True,True,True,leader+follower,False,wdr
jack_and_jill,15,champion,True,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,115,intermediate,False,True,False,False,True,,follower,False,wdr
jack_and_jill,16,intermediate,False,True,False,True,True,,follower,False,wdr
jack_and_jill,23,intermediate,False,True,True,False,True,,follower,False,wdr
jack_and_jill,70,intermediate,False,True,False,False,True,,leader,False,wdr
jack_and_jill,11,intermediate,False,True,False,True,True,,leader,False,wdr
jack_and_jill,12,intermediate,False,True,True,False,True,,leader,False,wdr
jack_and_jill,20,intermediate,False,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,5,intermediate,True,False,False,True,False,,leader+follower,True,wdr
jack_and_jill,54,intermediate,True,False,False,True,False,True,leader+follower,True,wdr
jack_and_jill,4,intermediate,True,True,False,True,False,True,leader+follower,False,wdr
jack_and_jill,2,intermediate,True,False,False,True,True,True,leader+follower,False,wdr
jack_and_jill,6,intermediate,True,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,70,intermediate,True,True,True,False,True,,leader+follower,False,wdr
jack_and_jill,18,invitational,False,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,181,newcomer,False,True,False,False,True,,follower,False,wdr
jack_and_jill,65,newcomer,False,True,False,False,True,,leader,False,wdr
jack_and_jill,51,newcomer,True,False,False,True,False,True,leader+follower,True,wdr
jack_and_jill,2,newcomer,True,False,False,True,True,True,leader+follower,False,wdr
jack_and_jill,12,newcomer,True,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,40,newcomer,True,True,True,False,True,,leader+follower,False,wdr
jack_and_jill,43,none,False,True,False,False,True,,follower,False,wdr
jack_and_jill,16,none,False,True,False,False,True,,leader,False,wdr
jack_and_jill,350,none,False,True,False,False,True,,leader+follower,False,wdr
jack_and_jill,139,novice,False,True,False,False,True,,follower,False,wdr
