contest_id,entry_id,event_id,link_status,name_raw,published_wsdc_id,role,source
2024-06-disco-america/other-amateur-just-hustle-pre-int,2024-06-disco-america/other-amateur-just-hustle-pre-int/L-232,2024-06-disco-america,unmatched,Michael Phillip and Renee George,,leader,eepro
2024-06-disco-america/other-amateur-just-hustle-pre-int,2024-06-disco-america/other-amateur-just-hustle-pre-int/L-267,2024-06-disco-america,unmatched,Tony Castro and Jacquie Vasques,,leader,eepro
2024-06-disco-america/other-classic-follower-proam-hustle,2024-06-disco-america/other-classic-follower-proam-hustle/F-139,2024-06-disco-america,unmatched,Kathryn Johanessen and Jameson Kilburn,,follower,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate/L-129,2024-06-disco-america,unmatched,Edwin Hisona and Cara Lyons,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate/L-224,2024-06-disco-america,unmatched,Glenn Ninonuevo and Marina Zats,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate/L-232,2024-06-disco-america,unmatched,Michael Phillip and Renee George,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate/L-251,2024-06-disco-america,unmatched,Kathi Breen and Daniel Gioioso,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-intermediate/L-272,2024-06-disco-america,unmatched,Mei Cheung and Aly Blake,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate/L-104,2024-06-disco-america,unmatched,Myrma Santiago and Abraham Nieves,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate/L-105,2024-06-disco-america,unmatched,James Mignone and Debra Kaye,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate/L-224,2024-06-disco-america,unmatched,Glenn Ninonuevo and Marina Zats,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate/L-226,2024-06-disco-america,unmatched,Joe Fabrizio and Patricia Fortier,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate/L-232,2024-06-disco-america,unmatched,Michael Phillip and Renee George,,leader,eepro
2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate,2024-06-disco-america/other-intermediate-amateur-just-hustle-silver-50-intermediate/L-251,2024-06-disco-america,unmatched,Kathi Breen and Daniel Gioioso,,leader,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50/F-102,2024-06-disco-america,unmatched,Michele Shore and Christopher Crevatas,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50/F-130,2024-06-disco-america,unmatched,Daniel Gioioso and Daniel McGee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50/F-231,2024-06-disco-america,unmatched,Renee George and Rainer Trubere,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50/F-234,2024-06-disco-america,unmatched,Katie Valentine and Robert Chukrallah,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50/F-256,2024-06-disco-america,unmatched,Karen Mirabelli and Daniel McGee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-follower-hustle-silver-50/F-291,2024-06-disco-america,unmatched,Maria Hurd and Daniel McGee,,follower,eepro
2024-06-disco-america/other-intermediate-pro-am-follower-hustle,2024-06-disco-america/other-intermediate-pro-am-follower-hustle/F-101,2024-06-disco-america,unmatched,jacqueline Vargas and Robert Lawrence,,follower,eepro
